b	爱
c	没
d	吗
f	看
g	把
h	此
j	多
k	很
l	就
m	东
n	为什么
p	需要
q	留
r	这
s	到
t	直接
v	地
w	个
x	并
y	怎么
bb	桌
bc	变化
bf	未来
bh	虚拟
bj	恋爱
bk	视
bs	爱情
cc	双方
cf	那么
ch	利
cj	对于
ck	清
cl	欢迎
cm	骑
cn	如
cs	通过
ct	迅速
cv	观点
cw	难道
cy	又要
dj	改变
dk	吧
dm	实
dp	皮肤
dr	长期
dv	言论
dw	中华人民共和国
dx	觉得
fb	一点
fc	一种
fd	副
ff	区
fg	一度
fh	两
fj	死
fk	武
fl	远远
fm	型
fn	一路
fp	系
fr	一身
fs	喜欢
ft	一直
fv	严
fw	求
fx	一半
fy	一年
gb	痛苦
gg	底
gj	罗
gk	找
gl	儿子
gm	眼
gn	制
gr	儿童
gs	逃避
gv	罢
hb	财
hd	句
hf	同学
hh	删除
hj	包
hk	忽略
hm	典型
hp	央视
hq	甚
hs	步
ht	男
hv	刚
hw	内容
hx	羽
hz	越
jb	巴黎
jc	过程
jd	事
jf	才
jg	功
jj	时
jk	知
jl	影响
jm	问
jn	明白
jp	版本
jr	暗
js	果
jt	日常
jv	显示
jw	工作日
jx	快
jy	昨天
jz	早上
kb	公
kc	成功
kd	回
kf	微
kg	张
kj	团队
kk	具体
kl	里面
kp	因为
kq	将
kr	国
ks	经
kt	图片
kx	下来
lb	比
lc	紧
lf	放
lg	平
lh	预警
lj	忘了
ll	京
lq	亮
lr	毫无
ls	政
lt	夜
lw	幼儿
lx	当
ly	临床
lz	孙
mb	还是
mc	苦
md	职
mf	写作
mg	危
mh	负责
mj	也是
mk	危险
mm	也有
mn	也能
mq	切
ms	急
mt	农村
mv	也许
mw	也会
mx	联系
mz	存
nc	胜利
nd	主
nf	缺点
nj	脾气
nl	脂肪
nm	脆弱
nn	朋友
np	然后
nq	肌肉
nr	服务
ns	能力
nt	脖子
nv	肚子
nw	月份
nx	腾讯
nz	路
pd	奇
pf	需要
ph	震惊
pn	露出
pq	猛
ps	雪
pw	零食
qc	发现
qf	印
qj	风
ql	乐队
qm	留学
qt	收入
rc	文科
rd	文字
rf	玩家
rg	文革
rh	默默
rj	文明
rk	确
rl	意
rm	弄
rn	玉
rr	文章
rs	文档
rt	文献
rv	现在
rw	文化
rx	班级
ry	文笔
sb	二战
sc	专业
sd	冲突
sf	用来
sh	尤其
sj	进
sk	展
sl	次
sm	样
sn	云
sp	牌
ss	用户
st	二十
sv	凌晨
sw	准
tb	补充
td	被动
tf	由于
tg	裤子
th	爆
tj	初中
tk	南
tp	务
ts	尝试
ty	邮件
vc	反正
vd	却
vf	语
vg	谨慎
vh	调
vj	让
vk	试
vl	老
vm	精
vn	训练
vq	设计
vr	转
vs	喜
vt	质
vv	诉
vw	谁
vx	说明
vy	许多
wc	似
wd	保
wf	使
wg	人物
wh	拿
wj	但是
wk	做
wl	仑
wm	您
wn	住
wp	人大
wq	低
wr	创
ws	会
wt	什么
wv	人类
ww	众
wx	伴随
wy	作为
xc	师
xg	着急
xj	钟
xm	差距
xp	美国
xs	羡慕
xx	善良
yb	怎么
yd	敏
yf	随
yj	醒
yl	醉了
ym	舞台
yn	酸痛
yq	气质
ys	算
yt	午餐
yx	飘
yy	」
yz	「
bbd	占
bbg	貞
bbj	卓
bbs	卢
bhf	獻
bhg	劇
bhh	慮
bhw	虧
bkd	祸
bkj	禍
bkk	祖
bkl	禮
bkv	祈
bmd	駛
bmf	驅
bmn	駐
bmp	騎
bsc	妥
bsj	爬
bsl	乳
bsm	愛
bsv	亂
chb	稻
chc	魏
chd	积
chf	秀
chh	黎
chj	秘
chk	剩
chl	稍
chm	称
chn	私
chq	蛋
cht	愁
chv	稀
chw	稚
chx	税
chy	梨
ckb	浮
ckc	泽
ckd	波
ckf	浅
ckg	泪
ckh	洞
ckj	江
ckk	激
ckl	流
ckm	深
ckn	浪
ckp	潜
ckq	溜
ckr	济
cks	活
ckt	洛
ckv	渐
ckw	涂
ckx	滋
cky	漂
clt	麥
cms	骗
cnc	娜
cnd	姆
cnf	奶
cng	娇
cnk	姻
cnl	妙
cnm	媒
cnn	娘
cnp	姨
cns	妇
cnt	妓
cnv	娃
cnx	嫌
dcf	詞
dct	訊
ddf	誤
dfh	誕
dfm	託
dgg	讚
dgv	譯
djd	錄
djg	鑽
djh	鋼
djj	忌
djk	鋪
djl	銷
djm	錯
djr	鏡
djs	課
djt	鐵
djv	錶
djw	鈴
dkb	嗎
dkc	嗓
dkd	品
dkf	号
dkg	啦
dkh	员
dkj	贵
dkk	呵
dkl	响
dkm	哎
dkn	唉
dkq	虽
dkr	嘿
dks	呆
dkt	叶
dkv	吐
dkw	哈
dkx	鸣
dll	彎
dlm	讓
dlx	評
dmb	宗
dmc	案
dmd	宫
dmf	宇
dmg	牢
dmh	講
dmj	守
dmk	宁
dml	字
dmm	赛
dmp	寄
dmr	宝
dms	宋
dmt	额
dmv	宾
dmw	宿
drj	謝
dtg	貫
dtt	談
dvj	詩
dwk	診
fdh	逼
fdx	豆
ffc	匯
ffd	歐
ffj	惡
ffl	匪
ffv	匠
fhf	麗
fjg	殊
fjj	勁
fjk	殘
fjr	鴨
fjt	殖
fjy	烈
fkf	拜
fmd	吾
fmy	刑
fnl	孕
fns	朶
fpg	鵝
fph	延
fpk	乏
fpt	币
fpv	释
gbb	貼
gbg	嬰
gbj	財
gbm	購
gbt	敗
gbv	販
gbx	贈
gcc	曆
gdy	罰
ggg	厦
ggm	席
ggn	廊
ggq	废
ggr	庫
ggs	唐
ggt	廠
ggv	庄
ggw	鹰
ggx	廉
gjl	厚
gjn	壓
gjs	杂
gkb	抓
gkc	扬
gkd	按
gkf	托
gkg	势
gkh	扯
gkj	担
gkk	拍
gkl	原
gkm	挥
gkn	抬
gkp	扶
gkq	抵
gkr	撞
gks	护
gkt	技
gkv	挂
gkw	抢
gkx	拼
gky	拖
glc	慶
glv	塵
glw	羅
gmb	瞬
gmd	瞎
gmf	摩
gmj	眠
gmk	盯
gmm	睁
gmp	瞭
gmr	磨
gms	鼎
gmv	瞪
gmw	瞧
gnc	牲
gnd	靠
gng	选
gnj	痴
gnk	朱
gnl	疗
gnm	痕
gnn	罷
gnp	療
